Date,Citywide,Administration for Child Services,Department of Social Services,Board of Correction,Board of Elections,Business Integrity Commission,Civilian Complaint Review Board,Department for the Aging,Department of Buildings,Department of Citywide Administrative Services,Department of Consumer Affairs,Department of Correction,Department of Design and Construction,Department of Education,Department of Emergency Management,Department of Environmental Protection,Department of Finance,Department of Health and Mental Hygiene,Department of Homeless Services,Department of Information Technology and Telecommunications,Department of Parks and Recreation,Department of Probation,Department of Sanitation,Department of Small Business Services,Department of Transportation,Department of Veterans’ Services,Department of Youth and Community Development,District Attorney—Kings County,District Attorney—New York,District Attorney—Queens County,District Attorney—Richmond County,Equal Employment Practices Commission,Financial Information Services Agency,Fire Department,Housing Preservation and Development,Mayoralty,Miscellaneous,NYC Taxi and Limousine Commission,Office of Administrative Tax Appeals,Office of Administrative Trials and Hearings,Office of Special Narcotics,Office of the Actuary,Office of the Comptroller,Police Department,District Attorney Bronx County,Independent Budget Office,Law Department
2020 Apr 15 12:00:00 AM,"$2,743,726 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,506,300 ",$0 ,$0 ,$0 ,"$108,290 ","$7,488 ",$0 ,$0 ,"$96,310 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$25,338 ",$0 ,$0 ,$0 
2020 Apr 16 12:00:00 AM,"$9,620,990 ",$0 ,$0 ,"$6,349 ",$0 ,"$1,400 ",$0 ,$0 ,$0 ,"$3,376,174 ",$0 ,$0 ,$0 ,"$89,595 ",$0 ,"$5,967 ",$0 ,"$13,601 ",$0 ,"$5,187,936 ","$9,600 ",$0 ,$0 ,"$902,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$27,868 ",$0 ,$0 ,$0 
2020 Apr 17 12:00:00 AM,"$503,537 ",$0 ,"$10,512 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$350,220 ",$0 ,$0 ,$0 ,$0 ,"$47,706 ",$0 ,$0 ,$0 ,"$3,499 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$72,196 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$19,404 ",$0 ,$0 ,$0 
2020 Apr 18 12:00:00 AM,"$1,890,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,890,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 19 12:00:00 AM,"$523,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$523,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 20 12:00:00 AM,"$1,546,794 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,375,000 ",$0 ,"$110,900 ",$0 ,"$28,864 ","$5,436 ","$24,959 ",$0 ,"$1,635 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 21 12:00:00 AM,"$6,291,960 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,746,963 ",$0 ,$0 ,$0 ,"$59,109 ","$7,339 ","$8,345 ",$0 ,"$533,075 ",$0 ,$0 ,"$5,445 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$72,226 ",$507 ,"$25,442 ","$2,299 ",$0 ,$0 ,"$831,210 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 22 12:00:00 AM,"$12,784,506 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,168,883 ",$0 ,$0 ,$0 ,"$49,826 ","$210,815 ","$18,500 ",$0 ,$0 ,$0 ,"$614,936 ","$19,470 ",$0 ,$0 ,"$1,668,600 ",$0 ,$0 ,$0 ,"$13,181 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$325 ,$0 ,$0 ,$0 ,"$19,970 ",$0 ,$0 ,$0 
2020 Apr 23 12:00:00 AM,"$38,916,405 ",$0 ,$0 ,$0 ,$0 ,$418 ,"$51,552 ",$0 ,$0 ,"$35,173,700 ",$0 ,$0 ,$0 ,"$38,914 ","$3,583,588 ","$56,975 ",$0 ,"$3,315 ",$0 ,$0 ,$0 ,$0 ,$484 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,750 ",$0 ,$0 ,$0 ,"$3,709 ",$0 ,$0 ,$0 
2020 Apr 24 12:00:00 AM,"$7,109,228 ","$25,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$37,985 ","$6,242,900 ",$0 ,$0 ,"$2,921 ","$30,403 ","$11,434 ","$20,306 ",$0 ,"$50,476 ","$20,000 ","$665,984 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,319 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
